state,fipscode,county,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,votergap,trump,clinton
Georgia,13063,Clayton County,275772,12.958,76.985,52.748,7.5,42985,18.2,18.1,25.3,38,1832.5,113.3,-71.908,13.156,85.064
Washington,53075,Whitman County,42689,5.891,15.516,49.05,4.7,41837,4.3,47.8,15.5,22.9,20.7,113.4,-2.06,44.964,47.024
Montana,30033,Garfield County,1173,1.142,1.674,49.696,2.7,42757,8.8,14.6,27.6,25.9,34.4,114,86.453,91.201,4.749
Colorado,8013,Boulder County,303482,13.913,9.387,49.705,3.2,71546,6,58.2,8.7,13.4,405.6,114.1,-48.632,21.935,70.566
Texas,48207,Haskell County,5002,26.32,8.402,46.941,3.5,35607,25.3,16.6,24.2,27.3,4.1,116.2,61.7,79.49,17.79
Nevada,32009,Esmeralda County,626,20.989,10.374,43.788,4.6,47180,14.6,13.3,22.3,25.5,2.8,116.9,62.411,77.778,15.366
Vermont,50001,Addison County,36760,2.241,5.222,49.91,3.7,59089,8.3,35.4,17.8,23,401.4,117,-33.652,30.11,63.762
Kansas,20057,Ford County,33692,53.504,8.105,48.306,3.4,51144,31.3,17,29.6,30.6,28.2,117.5,39.892,67.259,27.367
Indiana,18059,Hancock County,68334,2.157,4.997,51,4.2,68334,6.4,26.7,26.8,34.8,696.4,117.8,44.825,69.531,24.706
South Dakota,46115,Spink County,6554,2.315,4.093,49.709,3.1,48125,11.1,22,22.9,31.4,6.5,117.9,31.684,62.826,31.142
Virginia,51510,Alexandria city,150006,16.659,33.697,51.775,3.3,86419,8.7,61.5,14.7,20.1,9314.3,117.9,-59.026,17.801,76.827
Wyoming,56041,Uinta County,20927,9.072,4.601,49.702,4.9,56800,10.8,18.7,21.5,27.9,10.1,117.9,61.493,76.419,14.926
North Carolina,37135,Orange County,129083,8.527,23.362,52.042,4.6,60304,8.1,56.2,16.7,23.3,233.1,118.3,-51.023,23.015,74.039
Minnesota,27021,Cass County,28534,1.794,15.439,49.206,6.7,45179,8.8,19.6,25.9,26.5,256.9,118.7,31.684,62.839,31.155
California,6025,Imperial County,166874,82.673,10.333,49.019,24,38737,34.8,13.4,20.9,26.3,41.8,118.9,-41.826,26.882,68.707
Maryland,24029,Kent County,20247,4.255,18.406,52.13,5.4,53288,13.4,28,22.8,28.1,1144.9,119.1,4.582,50.164,45.581
Texas,48385,Real County,2925,26.308,5.352,50.348,5.2,37294,19.2,20,25.3,27.6,2.9,119.3,66.746,82.36,15.614
Utah,49017,Garfield County,4625,6.069,5.75,47.594,8.7,45666,7.9,21.4,20.3,32.5,2.5,119.9,53.4,68.745,15.344
Texas,48063,Camp County,12793,23.695,21.227,51.616,6.2,37801,23.8,14.3,26.2,31.8,456,121,42.734,70.476,27.741
Iowa,19105,Jones County,20364,1.876,4.012,47.84,4.1,51558,8.6,15.7,25,37.6,213.1,121.1,19.369,57.117,37.748
Mississippi,28107,Panola County,35245,1.674,51.547,51.872,8.8,34526,22.2,14.9,36.1,36,104,121.2,0.478,49.623,49.145
Iowa,19051,Davis County,8562,1.22,1.665,50.679,4.4,46750,13.7,16.8,29.1,32.7,112.4,121.5,45.231,70.529,25.298
North Carolina,37185,Warren County,19425,3.944,59.013,49.744,8.4,33869,22.7,15.2,31.2,39.2,1078.8,121.6,-33.251,32.619,65.87
Georgia,13183,Long County,12234,11.257,32.401,49.743,5.9,43193,15.7,13.9,25.9,31.4,36.1,121.8,30.835,63.835,33.001
Georgia,13223,Paulding County,136655,5.83,22.198,51.167,5.1,63964,11,23.3,23.9,28.6,455.8,121.8,41.241,69.11,27.87
Washington,53001,Adams County,17732,62.444,9.821,48.873,6.8,47423,33.6,13.5,23.6,34.4,9.7,122,39.745,67.14,27.395
Texas,48167,Galveston County,286814,24.049,20.002,50.619,5,58333,12.6,28.3,19.8,27.6,11.7,122.1,22.633,59.33,36.698
Utah,49005,Cache County,115269,10.594,6.888,50.158,3,51735,7.5,35.9,14.1,21.8,8.7,122.1,26.234,46.75,20.516
Georgia,13059,Clarke County,116342,10.637,34.566,52.455,5.9,31487,14.5,39.3,21.9,25.3,979.1,122.2,-38.043,28.699,66.742
Tennessee,47189,Wilson County,112377,3.902,10.77,50.927,4.7,60955,11.3,26.7,27.6,31.7,314.4,122.6,44.324,69.829,25.505
Texas,48101,Cottle County,1566,25.035,12.903,52.525,7.1,32722,26.5,15.2,26,27.4,71.7,122.6,68.954,83.362,14.408
Georgia,13067,Cobb County,714692,12.795,36.04,51.705,5,66970,9,43.8,18.3,22.9,2026.4,123,-2.087,46.75,48.837
Texas,48203,Harrison County,64795,12.709,25.395,51.199,5.3,48461,16,18.6,29.3,33.3,2402.4,123.1,43.931,70.976,27.044
Wyoming,56005,Campbell County,43967,8.618,5.15,48.074,3.8,79358,8.8,19.2,24.2,34.3,9.6,123.2,80.591,87.973,7.382
Colorado,8001,Adams County,440994,39.21,13.281,49.584,4.3,59316,18.2,21.6,18.9,26.3,378.2,123.7,-7.231,42.145,49.377
Texas,48373,Polk County,46530,14.579,15.997,46.36,6.1,41401,22.2,12.1,29.3,29.4,3.3,123.7,56.509,77.189,20.68
Texas,48285,Lavaca County,18539,18.456,9.286,51.281,3.8,47041,18.9,15.3,29.5,32,4.6,123.8,71.458,85.011,13.553
Kansas,20047,Edwards County,3071,20.451,5.121,49.292,3.3,49256,15.5,21.7,29.3,32.9,243.1,124.1,63.073,78.976,15.902
Kansas,20177,Shawnee County,176255,11.929,15.701,51.385,4.3,52795,9.4,28.9,22.8,32.9,35.9,124.1,2.823,47.997,45.174
Virginia,51179,Stafford County,124166,11.809,26.521,49.652,4.5,92647,6.8,37.1,20.7,29.6,479.5,124.2,9.122,51.783,42.661
North Carolina,37095,Hyde County,5211,8.089,31.868,44.064,9.1,36891,20.5,11.2,26.1,29.7,120.2,124.8,14.034,56.093,42.059
Virginia,51121,Montgomery County,91023,3.088,12.91,47.928,4.3,43484,9.6,44.3,20,24.2,243.9,124.9,-1.312,45.567,46.879
Texas,48325,Medina County,44728,51.465,6.149,48.312,4.4,53440,18.9,18.8,23.8,32.2,42.4,125.1,43.23,70.134,26.904
California,6107,Tulare County,429668,63.585,11.703,49.943,11.7,42360,32,13.3,21.6,32.6,91.7,125.2,16.231,55.79,39.559
Montana,30005,Blaine County,6485,2.615,51.954,50.844,4.9,35740,12.2,17.3,26.5,35.6,2.6,125.8,2.722,47.599,44.877
Texas,48143,Erath County,36184,20.488,5.557,50.861,3.9,41914,17.2,25.6,22.5,28.2,790.6,126.1,65.503,81.137,15.634
Texas,48399,Runnels County,10170,34.215,6.407,50.062,3.7,38607,20.6,13.7,24.7,26.8,616.7,127.1,74.077,86.082,12.005
Georgia,13057,Cherokee County,215084,10.1,11.263,50.821,4.6,71168,11.1,34.3,20.1,26.9,508.3,127.5,49.996,72.737,22.741
Texas,48113,Dallas County,2451730,39.528,32.348,50.758,4.3,50118,22.3,28.7,23.3,27.6,4.5,127.5,-26.241,34.885,61.126
Utah,49015,Emery County,10629,6.422,2.903,49.325,6,49709,10.5,12.3,22.6,25.8,5.7,127.5,70.913,79.803,8.89
Colorado,8005,Arapahoe County,565360,18.898,22.081,50.685,3.7,65359,8.2,39.4,15.9,21.4,716.7,127.7,-13.75,38.926,52.676
Missouri,29171,Putnam County,4759,1.564,1.956,49.135,4,34684,13.7,15.2,33.1,31.9,95.5,127.7,67.635,82.664,15.03
Georgia,13101,Echols County,4213,29.629,11.188,50.198,4.7,34444,27,7.5,26.4,28.3,9.7,127.8,72.34,85.617,13.277
Colorado,8041,El Paso County,604542,16.557,16.478,49.45,4.6,59286,6.5,35.2,15.4,22.3,292.6,128.2,22.568,56.343,33.775
Colorado,8047,Gilpin County,5604,6.452,6.537,47.117,3.1,64752,5.4,29.5,15.8,19.7,36.3,128.2,-1.959,43.76,45.719
Colorado,8123,Weld County,254759,29.03,6.911,49.577,3.8,61501,13.5,25.9,18.2,26,63.4,128.3,22.433,56.717,34.284
Texas,48503,Young County,17792,18.402,5.025,50.416,4.3,41872,20,17.6,24.9,27.1,9.9,128.3,74.615,86.015,11.4
California,6029,Kern County,807407,52.171,17.387,48.674,10.2,47451,27,15.2,23.8,30.3,103.3,128.8,17.829,56.34,38.51
Virginia,51610,Falls Church city,11957,10.2,19.637,50.842,3,125635,3.2,75.1,21.1,27.5,6169.8,128.9,-58.524,17.256,75.779
North Carolina,37121,Mitchell County,15634,4.873,3.522,50.597,6.9,36795,18.8,16.4,23.6,29.2,1755.5,129.2,58.379,78.322,19.942
Oklahoma,40141,Tillman County,7796,25.349,17.379,49.794,4.2,35274,24.2,16.1,36,33.4,10.1,129.2,47.561,71.84,24.279
California,6053,Monterey County,410370,57.827,17.419,49.072,8.1,57428,28.8,23.1,17.2,22.3,126.5,129.5,-39.242,27.632,66.873
Idaho,16021,Boundary County,10951,4.365,5.469,49.558,5.4,42720,12,14.1,25.4,27.3,55.9,129.6,55.456,73.573,18.117
California,6085,Santa Clara County,1784642,26.333,44.31,49.668,4.2,97219,13.2,47.3,15.2,19.5,1381,130.1,-52.383,20.999,73.382
California,6047,Merced County,245321,58.151,18.078,49.496,11.4,43818,32,13,24.8,29.5,132.2,130.3,-7.925,43.473,51.398
South Dakota,46123,Tripp County,5541,1.951,17.667,50.368,2.7,40545,12.4,21.8,25.8,30.7,6.9,130.3,61.103,78.669,17.567
Nebraska,31155,Saunders County,20057,2.303,2.612,49.267,3,61961,6.9,24.5,23.7,28.6,664.6,130.4,46.962,70.636,23.674
Georgia,13089,DeKalb County,747274,8.779,63.553,52.549,5.9,50597,11.6,40.3,20,27.3,2585.7,130.5,-64.758,16.065,80.823
Arizona,4001,Apache County,70591,6.471,76.698,50.582,13.4,32366,24.2,10.1,21.4,35.2,6.4,130.7,-36.878,28.485,65.363
Maryland,24033,Prince George's County,834560,17.163,73.134,51.817,5.3,71904,14.4,30.4,22.5,33.4,1978.2,130.9,-80.987,8.343,89.329
North Dakota,38019,Cavalier County,3699,1.202,3.265,49.112,2.7,54057,11.2,19,30.4,32.1,84.9,130.9,44.693,68.867,24.175
Texas,48165,Gaines County,15382,40.761,5.292,49.269,3.2,50709,41.3,11.2,26,30.6,15.2,130.9,71.816,84.769,12.953
California,6069,San Benito County,55058,58.7,11.69,49.794,7.6,68166,22.1,19,17.2,23.3,39.8,131.1,-20.352,37.064,57.416
Idaho,16059,Lemhi County,7908,3.439,4.266,49.412,7,37869,7.8,22.9,21.2,26.8,34.6,131.1,55.998,74.017,18.019
Iowa,19171,Tama County,17377,8.485,11.634,50.885,4.3,54957,9.6,16.2,31.1,31.3,156.3,131.2,20.542,57.527,36.985
Texas,48115,Dawson County,13657,55.925,10.318,43.979,4.6,41876,29.5,10.1,21.5,29.9,2718,131.2,50.561,74.003,23.442
Minnesota,27143,Sibley County,14925,8.592,3.052,49.573,4.1,59893,11,15.8,26.6,33.3,204.4,131.3,41.918,67.206,25.288
Nevada,32029,Storey County,4441,8.277,8.352,48.131,7.3,55291,7.2,20.7,22.9,26.9,1.1,131.3,33.776,63.174,29.398
Ohio,39043,Erie County,76963,4.184,12.956,51.23,5.6,49234,10.1,21.1,27.8,35.4,393.2,131.7,9.826,52.548,42.723
Oregon,41069,Wheeler County,1363,5.228,7.143,48.969,5.2,33387,10.7,16.1,19.9,27.2,731.4,132,54.293,73.611,19.318
Colorado,8067,La Plata County,51464,12.743,10.929,49.311,3.5,60658,5.7,43.4,11.6,16.3,30.3,132.3,-9.208,40.593,49.801
Kansas,20059,Franklin County,26441,4.042,5.439,50.182,4.6,50745,8.3,21,29.3,33.8,30.8,132.3,39.369,65.913,26.543
New Mexico,35047,San Miguel County,28323,77.144,8.717,50.81,7.7,32964,17.7,19.9,18.1,22.6,23.6,132.5,-46.247,21.52,67.767
California,6019,Fresno County,915267,52.397,22.842,50.107,10.2,43338,26.8,19.5,20.9,26.6,156.2,132.7,-2.032,46.604,48.636
Illinois,17021,Christian County,34253,1.602,3.644,49.129,6.6,46870,11.8,13.9,26.2,31.7,201.8,132.7,42.717,68.726,26.009
North Carolina,37181,Vance County,43056,7.317,53.774,53.251,8.6,33609,22.5,12.7,31.9,38.2,318.7,133,-24.613,36.96,61.573
Florida,12073,Leon County,265714,6.225,37.579,52.55,5,45463,7.9,44.3,17.8,26.4,413.1,133.1,-25.117,35.397,60.514
Texas,48019,Bandera County,20560,18.045,4.213,50.59,4,50107,13.6,21.5,23.6,27.1,8.7,133.1,62.988,79.888,16.9
Kansas,20063,Gove County,2480,2.689,1.932,48.826,2.6,50886,5.5,21.7,23.2,30.2,89.3,133.4,73.645,84.864,11.22
Utah,49041,Sevier County,19976,4.942,3.731,48.871,4.4,48622,9.6,16.2,23,29.9,17.5,133.4,69.375,77.552,8.177
Idaho,16079,Shoshone County,12660,3.411,5.405,49.638,7.7,36577,15.2,13.7,27.8,31.1,5.6,133.6,37.363,64.395,27.031
North Dakota,38055,McLean County,8310,2.761,9.596,49.025,3.6,56616,9.9,17.6,23.9,33.4,2.3,134,52.958,73.511,20.553
Texas,48441,Taylor County,127683,23.916,13.744,51.132,3.7,45559,14.3,24.6,22.5,30.8,2094.7,134.5,51.087,73.282,22.195
West Virginia,54061,Monongalia County,90080,2.184,9.495,48.523,4.7,43835,8.8,38.8,24.1,28.8,267.1,134.5,10.383,51.152,40.769
California,6071,San Bernardino County,2017673,52.188,22.825,50.229,6.5,51951,21.7,18.8,19.1,27.9,101.5,134.8,-8.765,43.052,51.817
Tennessee,47151,Scott County,21866,0.825,1.891,50.629,9.6,31397,24.8,10.5,38.8,28.9,424,134.8,71.739,84.852,13.112
Nevada,32017,Lincoln County,4794,7.427,7.863,46.108,6.2,45629,13,15.1,24.8,25.9,1.1,134.9,65.009,78.377,13.368
Idaho,16043,Fremont County,12691,12.263,3.799,48.054,3.6,45578,11.5,19.7,20.2,28.9,19.3,135,60.203,71.596,11.393
Virginia,51750,Radford city,16184,3.206,14.538,52.382,5.6,34267,12.1,34.9,19.7,29.6,1662.2,135,-4.741,43.717,48.458
Texas,48371,Pecos County,16248,67.753,8.196,43.436,5.2,44817,31.8,11.5,21.7,28.6,11.7,135.7,21.886,59.107,37.221
Pennsylvania,42029,Chester County,498894,7.256,13.634,50.798,3.7,85613,7.2,48.8,17.1,23,138.7,135.8,-9.228,43.348,52.576
Texas,48231,Hunt County,82831,15.418,13.409,50.54,4.7,43385,17,17.4,23.4,27,0.8,135.8,56.325,76.53,20.205
New Jersey,34019,Hunterdon County,130034,6.276,8.351,50.541,4.1,103876,5.7,48.3,16.7,22.3,13731.4,135.9,13.839,54.639,40.799
North Carolina,37137,Pamlico County,12422,3.756,22.925,48.736,6.1,43097,13.3,19.9,26.8,31.5,336.2,136,26.551,62.389,35.839
Kansas,20083,Hodgeman County,1906,7.29,3.117,50.449,3.3,52394,10.2,21,26.8,32,7.4,136.1,71.67,83.996,12.326
Missouri,29021,Buchanan County,89856,6.232,10.697,49.675,4.6,45431,13.2,19.7,28,32.6,237.3,136.5,26.165,59.936,33.771
Georgia,13073,Columbia County,112958,6.549,25.23,51.007,5,68067,8.9,34.2,20.1,30.3,427.6,136.6,37.696,67.082,29.386
Texas,48467,Van Zandt County,52005,10.484,6.43,50.968,4.5,43377,18.5,14.9,33.7,30.2,15.5,136.8,72.129,85.002,12.873
California,6113,Yolo County,199407,31.53,24.685,51.402,6.4,54509,15,38.3,15.3,22.7,197.9,136.9,-42.04,26.032,68.072
Georgia,13219,Oconee County,33320,4.86,11.425,51,4.3,80631,7.6,44.6,20.5,28.8,178,136.9,40.105,67.709,27.604
Tennessee,47127,Moore County,6096,1.74,5.014,50.791,4.7,50358,16.2,13.9,31.1,32,319.6,136.9,62.509,79.46,16.951
Minnesota,27173,Yellow Medicine County,9867,4.061,6.147,49.357,3.8,51028,8.8,17.3,22.7,29,188.5,137,35.37,64.382,29.012
New Mexico,35011,De Baca County,1819,40.864,6.783,50.219,5,33789,17.9,11.6,23.4,22.9,34.4,137,46.961,68.177,21.215
Colorado,8069,Larimer County,298382,11.188,7.027,50.074,3.3,57659,4.9,44.1,12.3,18.7,115.4,137.1,-4.923,42.612,47.536
Illinois,17091,Kankakee County,113215,10.131,18.86,50.852,6.8,56326,13.2,17.6,21.5,30.1,990.8,137.4,13.259,53.873,40.613
North Dakota,38087,Slope County,649,3.259,4.042,46.023,2.6,55664,13.4,23.6,26,26.9,3.8,137.4,74.707,84.543,9.836
California,6039,Madera County,148632,56.7,14.065,51.84,10.5,43171,30.5,13.5,19.9,26.5,70.6,137.5,17.331,56.098,38.768
Georgia,13151,Henry County,195370,6.472,47.873,52.235,6,60388,10.4,26.2,22.7,33.1,633,137.5,-4.346,46.555,50.901
Utah,49019,Grand County,9660,10.404,9.048,49.937,6,43344,9.8,23.2,17.2,22.3,1,137.7,0.09,43.461,43.37
North Carolina,37191,Wayne County,113811,11.244,36.658,50.834,6.1,36890,17.8,17.2,27,34.4,163.4,138,11.721,54.913,43.192
Wyoming,56023,Lincoln County,16995,4.578,3.483,49.092,4.6,63575,6.6,20.1,20.4,25.6,4.4,138,67.564,80.722,13.158
Indiana,18159,Tipton County,15892,2.725,2.181,50.121,4,55008,12.1,17.3,26,31.1,345.7,138.1,53.289,74.421,21.132
Georgia,13097,Douglas County,129703,9.058,49.335,52.307,6.2,54581,12.3,24.5,26.3,32.3,661.8,138.2,-10.752,43.237,53.989
Texas,48029,Bexar County,1651448,59.509,15.084,50.747,3.8,50699,17,26.5,20.7,27.3,295.2,138.3,-13.485,40.98,54.466
Colorado,8014,Broomfield County,55990,12.395,11.212,50.297,3.3,85885,5.2,49.5,11.8,17.6,1691.9,138.4,-14.081,38.22,52.3
Texas,48331,Milam County,24628,26.231,13.43,50.594,5.3,41849,19,16,24,29.7,152,138.4,49.936,73.661,23.725
Georgia,13031,Bulloch County,69213,3.752,33.46,50.681,6,36315,13.7,28,24.6,33.5,104.4,138.8,23.452,59.94,36.487
South Dakota,46013,Brown County,35204,2.498,9.243,50.726,2.7,53150,8.1,26.9,21.6,32.2,40.3,138.8,25.824,59.66,33.836
Florida,12095,Orange County,1086480,29.814,31.282,50.924,4.9,47069,12.7,30.6,22.9,24.9,1268.5,139.1,-24.641,35.744,60.385
Texas,48031,Blanco County,9198,19.093,4.816,49.846,3.1,57177,11.8,27.9,23.3,28.7,1383.1,139.1,52.355,74.299,21.944
Idaho,16033,Clark County,952,42.386,6.818,47.386,3.7,45979,22,15.9,23,31.4,8.9,139.2,56.184,71.731,15.548
Georgia,13121,Fulton County,1033756,7.497,53.605,51.602,5.8,55516,9.3,48.6,17.7,23.9,1748,139.4,-42.12,27.107,69.227
Texas,48105,Crockett County,3740,65.067,5.795,49.73,5.9,49614,31.6,11.1,24.9,27.9,5.6,139.5,43.584,70.251,26.667
