"id","health","partyid","age","sex","sexornt","educ","marital","race","income"
272,"excellent","dem",48,"male","bisexual/other",18,"married","white",NA
273,"good","dem",29,"female","hetero",14,"never married","white",18.75
274,"good","dem",65,"female","bisexual/other",19,"no longer married","white",13.75
275,"good","dem",67,"female","bisexual/other",16,"never married","white",55
277,"good","dem",45,"male","hetero",18,"married","white",200
278,"excellent","dem",36,"female","hetero",15,"no longer married","white",13.75
279,"excellent","other",60,"male","hetero",12,"married","white",100
281,"excellent","rep",52,"female","bisexual/other",12,"no longer married","white",67.5
282,"good","dem",34,"male","hetero",13,"married","white",37.5
284,"good","rep",63,"male","bisexual/other",12,"married","white",120
285,"good","dem",71,"female","hetero",16,"no longer married","white",NA
287,"good","rep",65,"female","hetero",18,"no longer married","white",140
288,"good","rep",39,"female","bisexual/other",15,"never married","white",45
290,"fair","dem",83,"female","bisexual/other",12,"no longer married","white",NA
291,"excellent","rep",59,"male","hetero",17,"no longer married","white",120
292,"good","other",63,"female","hetero",19,"married","white",NA
294,"fair","rep",50,"male","bisexual/other",12,"no longer married","white",45
295,"good","other",18,"female","bisexual/other",11,"never married","white",NA
296,"good","dem",45,"female","bisexual/other",16,"married","white",55
298,"good","dem",39,"male","bisexual/other",20,"never married","black",NA
299,"excellent","dem",31,"female","bisexual/other",20,"never married","white",67.5
300,"excellent","other",44,"female","hetero",16,"never married","black",82.5
302,"excellent","rep",56,"female","hetero",13,"married","white",32.5
303,"good","dem",37,"male","bisexual/other",12,"married","white",82.5
305,"good","rep",69,"male","hetero",14,"married","white",4.5
306,"fair","other",34,"male","bisexual/other",12,"no longer married","other",55
307,"good","rep",25,"male","hetero",17,"never married","white",NA
308,"good","other",33,"male","hetero",8,"never married","other",NA
310,"excellent","rep",57,"male","hetero",16,"married","white",200
311,"good","other",77,"male","bisexual/other",14,"no longer married","white",NA
312,"fair","dem",29,"male","bisexual/other",16,"never married","other",100
313,"excellent","dem",58,"male","hetero",18,"no longer married","white",200
314,"good","dem",42,"male","hetero",20,"married","white",120
315,"excellent","dem",65,"male","bisexual/other",13,"no longer married","white",55
316,"fair","rep",25,"female","bisexual/other",16,"never married","black",32.5
317,"excellent","rep",76,"male","bisexual/other",19,"married","white",NA
320,"excellent","dem",51,"male","bisexual/other",12,"married","black",67.5
321,"fair","rep",78,"female","hetero",14,"married","white",NA
322,"good","dem",53,"male","bisexual/other",12,"married","black",9
323,"good","dem",83,"male","bisexual/other",11,"married","black",NA
324,"fair","dem",58,"female","hetero",7,"never married","black",NA
327,"poor","dem",86,"male","bisexual/other",12,"no longer married","black",NA
328,"fair","dem",70,"female","bisexual/other",14,"no longer married","other",NA
330,"excellent","dem",24,"female","hetero",16,"never married","black",4.5
332,"good","dem",34,"female","hetero",16,"married","white",120
335,"excellent","rep",70,"male","bisexual/other",18,"married","white",67.5
336,"good","rep",71,"male","bisexual/other",12,"married","white",NA
338,"excellent","dem",54,"male","hetero",16,"married","white",200
339,"good","dem",40,"female","hetero",16,"married","white",140
341,"fair","rep",60,"male","hetero",20,"no longer married","white",140
342,"good","other",72,"male","bisexual/other",16,"married","white",3.5
343,"excellent","other",35,"female","hetero",16,"married","black",140
345,"excellent","dem",28,"female","bisexual/other",14,"married","black",27.5
346,"good","dem",77,"female","hetero",13,"no longer married","white",NA
348,"poor","dem",67,"female","bisexual/other",12,"no longer married","white",NA
349,"fair","dem",53,"female","bisexual/other",12,"never married","black",NA
350,"fair","dem",37,"female","hetero",15,"married","black",0.5
352,"good","other",35,"female","bisexual/other",12,"married","black",11.25
353,"good","rep",60,"female","hetero",20,"married","white",NA
354,"fair","dem",68,"male","bisexual/other",16,"married","other",120
355,"excellent","dem",43,"male","bisexual/other",20,"married","white",120
356,"excellent","dem",36,"female","hetero",12,"married","other",NA
357,"good","dem",34,"female","bisexual/other",9,"never married","black",9
359,"excellent","rep",52,"male","bisexual/other",14,"never married","white",82.5
360,"fair","rep",70,"male","bisexual/other",12,"no longer married","white",55
362,"excellent","other",61,"female","bisexual/other",13,"married","white",NA
364,"excellent","rep",40,"female","bisexual/other",16,"no longer married","white",32.5
365,"fair","rep",44,"male","hetero",17,"no longer married","white",82.5
366,"good","dem",67,"female","hetero",6,"no longer married","black",NA
367,"excellent","dem",70,"female","bisexual/other",16,"never married","white",140
368,"good","dem",27,"female","bisexual/other",16,"never married","white",82.5
370,"good","rep",61,"male","bisexual/other",16,"married","white",200
371,"good","rep",30,"male","bisexual/other",16,"never married","white",200
372,"excellent","dem",38,"male","hetero",16,"married","white",100
373,"excellent","dem",27,"female","bisexual/other",16,"never married","white",82.5
375,"excellent","rep",45,"male","bisexual/other",16,"no longer married","white",32.5
376,"fair","dem",68,"female","hetero",14,"married","white",55
378,"fair","other",77,"female","bisexual/other",14,"no longer married","white",NA
379,"good","rep",78,"female","bisexual/other",16,"no longer married","white",NA
382,"fair","rep",89,"female","hetero",12,"no longer married","white",NA
383,"good","dem",75,"female","bisexual/other",19,"no longer married","white",NA
384,"fair","dem",48,"male","hetero",15,"married","other",37.5
385,"excellent","dem",48,"female","bisexual/other",16,"married","white",100
386,"excellent","dem",41,"female","bisexual/other",16,"never married","white",55
388,"good","other",29,"female","bisexual/other",20,"never married","white",37.5
389,"fair","dem",38,"male","bisexual/other",14,"married","black",NA
391,"poor","other",55,"female","bisexual/other",13,"no longer married","other",NA
393,"fair","dem",18,"female","bisexual/other",9,"never married","black",NA
394,"good","dem",24,"female","hetero",17,"never married","other",NA
395,"good","dem",34,"male","bisexual/other",0,"married","white",82.5
396,"excellent","rep",77,"female","hetero",16,"married","white",NA
399,"fair","dem",70,"male","bisexual/other",12,"no longer married","white",27.5
400,"excellent","other",71,"female","bisexual/other",16,"married","white",NA
403,"excellent","other",20,"female","hetero",12,"never married","white",2
405,"good","rep",29,"female","bisexual/other",12,"never married","white",NA
407,"excellent","dem",36,"female","bisexual/other",11,"never married","white",NA
410,"fair","rep",53,"male","bisexual/other",13,"married","white",45
412,"fair","dem",39,"female","bisexual/other",10,"no longer married","white",NA
413,"good","other",57,"male","bisexual/other",14,"married","white",NA
416,"good","dem",32,"male","bisexual/other",16,"married","white",200
417,"excellent","other",46,"male","hetero",13,"no longer married","white",55
418,"good","other",41,"male","hetero",12,"no longer married","white",45
420,"good","dem",49,"female","bisexual/other",16,"no longer married","white",55
422,"good","dem",59,"female","hetero",14,"married","white",82.5
424,"fair","dem",27,"female","hetero",13,"never married","other",NA
426,"excellent","rep",74,"female","hetero",20,"married","white",6.5
428,"fair","dem",44,"male","bisexual/other",20,"married","other",200
430,"fair","dem",42,"female","bisexual/other",12,"married","other",45
431,"excellent","dem",65,"female","hetero",16,"no longer married","white",140
432,"excellent","rep",36,"male","bisexual/other",16,"married","white",200
435,"good","dem",89,"male","bisexual/other",5,"no longer married","white",NA
436,"excellent","other",40,"female","bisexual/other",16,"married","other",NA
437,"excellent","dem",88,"female","bisexual/other",12,"no longer married","white",NA
438,"fair","rep",59,"female","hetero",16,"married","white",9
440,"good","rep",31,"female","hetero",14,"never married","black",37.5
441,"good","dem",31,"male","hetero",18,"married","other",23.75
442,"fair","dem",35,"female","hetero",16,"married","white",55
444,"excellent","dem",48,"female","bisexual/other",12,"married","other",NA
445,"good","other",24,"female","bisexual/other",12,"married","black",NA
447,"fair","dem",37,"female","hetero",16,"never married","other",32.5
448,"good","dem",34,"female","bisexual/other",16,"never married","black",160
449,"fair","dem",89,"female","bisexual/other",12,"no longer married","white",NA
451,"excellent","dem",46,"male","bisexual/other",12,"never married","black",55
452,"good","dem",29,"female","bisexual/other",17,"married","white",32.5
454,"excellent","dem",33,"female","hetero",16,"never married","white",55
455,"excellent","dem",46,"female","bisexual/other",18,"no longer married","black",100
456,"good","dem",19,"male","bisexual/other",13,"never married","other",NA
457,"fair","dem",65,"male","hetero",19,"no longer married","black",NA
458,"good","rep",37,"female","hetero",16,"married","other",NA
459,"poor","other",64,"female","bisexual/other",12,"married","white",NA
461,"excellent","dem",28,"male","hetero",16,"married","white",82.5
462,"good","rep",24,"female","hetero",17,"never married","other",9
463,"fair","other",43,"male","hetero",15,"married","white",82.5
465,"good","dem",76,"female","bisexual/other",16,"married","white",NA
466,"excellent","other",21,"female","hetero",14,"never married","white",7.5
469,"excellent","rep",55,"female","bisexual/other",16,"married","white",82.5
471,"good","dem",66,"female","bisexual/other",18,"no longer married","white",NA
472,"good","dem",37,"female","bisexual/other",19,"no longer married","other",32.5
473,"good","dem",70,"female","bisexual/other",16,"married","white",NA
474,"good","dem",43,"male","hetero",18,"married","white",120
475,"excellent","other",19,"female","hetero",9,"never married","other",NA
477,"fair","dem",40,"female","hetero",18,"married","white",82.5
479,"excellent","rep",70,"female","bisexual/other",12,"married","white",NA
480,"fair","dem",31,"male","hetero",13,"never married","white",23.75
483,"fair","other",60,"female","bisexual/other",12,"married","white",NA
484,"fair","rep",27,"male","hetero",12,"never married","white",18.75
485,"good","rep",89,"male","bisexual/other",16,"no longer married","white",NA
486,"poor","dem",50,"female","hetero",11,"no longer married","black",NA
487,"excellent","dem",44,"female","bisexual/other",16,"never married","black",32.5
490,"good","dem",31,"female","hetero",14,"never married","white",NA
492,"excellent","dem",72,"male","hetero",16,"married","white",200
493,"excellent","dem",50,"female","hetero",20,"no longer married","white",82.5
494,"excellent","rep",66,"male","hetero",20,"married","white",NA
495,"excellent","rep",35,"female","hetero",17,"never married","white",45
496,"fair","dem",35,"female","bisexual/other",11,"never married","black",NA
497,"excellent","rep",33,"female","gay",13,"never married","black",NA
498,"fair","other",66,"female","bisexual/other",6,"no longer married","white",NA
500,"excellent","other",37,"female","bisexual/other",16,"married","black",NA
502,"excellent","dem",28,"male","bisexual/other",16,"married","black",NA
503,"good","rep",30,"female","hetero",16,"married","white",NA
504,"good","rep",37,"male","hetero",11,"married","white",NA
506,"poor","rep",84,"male","bisexual/other",14,"married","white",NA
508,"fair","dem",29,"female","bisexual/other",16,"married","other",55
509,"good","dem",39,"male","hetero",17,"married","white",120
511,"fair","dem",68,"female","hetero",18,"no longer married","other",45
512,"good","other",70,"female","bisexual/other",16,"married","white",NA
513,"good","other",50,"male","bisexual/other",16,"married","white",NA
514,"good","other",54,"male","bisexual/other",17,"married","white",160
515,"good","rep",45,"male","bisexual/other",16,"married","white",NA
516,"excellent","rep",48,"female","hetero",14,"married","white",NA
517,"good","rep",73,"male","hetero",16,"married","white",NA
518,"good","dem",77,"female","bisexual/other",18,"married","white",NA
519,"good","dem",59,"female","hetero",16,"no longer married","white",120
521,"fair","rep",68,"male","hetero",18,"married","white",NA
524,"fair","other",45,"male","bisexual/other",14,"never married","white",13.75
525,"good","rep",35,"female","hetero",13,"married","white",200
527,"good","other",36,"female","bisexual/other",12,"married","white",NA
529,"good","rep",61,"female","bisexual/other",12,"married","white",NA
530,"fair","dem",56,"female","hetero",12,"no longer married","white",55
531,"fair","dem",26,"female","bisexual/other",12,"never married","black",2
534,"good","rep",57,"male","hetero",18,"married","white",100
535,"good","rep",59,"female","bisexual/other",14,"married","white",NA
536,"excellent","other",33,"female","hetero",14,"married","white",9
538,"excellent","rep",61,"male","bisexual/other",18,"married","white",82.5
539,"fair","rep",39,"female","hetero",13,"married","white",32.5
540,"good","rep",38,"female","bisexual/other",12,"married","white",32.5
541,"good","dem",49,"female","bisexual/other",17,"no longer married","white",100
543,"good","dem",47,"male","bisexual/other",16,"never married","black",100
544,"excellent","dem",52,"male","hetero",13,"married","other",82.5
546,"poor","rep",54,"female","hetero",12,"married","white",NA
547,"fair","rep",39,"female","bisexual/other",12,"married","white",NA
548,"fair","dem",70,"male","bisexual/other",11,"never married","black",NA
549,"fair","dem",78,"female","bisexual/other",12,"no longer married","black",NA
550,"excellent","dem",74,"female","bisexual/other",20,"no longer married","white",NA
551,"excellent","other",65,"male","bisexual/other",16,"married","white",21.25
553,"good","rep",53,"female","bisexual/other",16,"married","white",100
554,"excellent","dem",21,"female","hetero",12,"never married","other",6.5
556,"good","rep",62,"female","bisexual/other",14,"married","white",11.25
558,"good","dem",89,"male","hetero",16,"no longer married","white",NA
560,"excellent","dem",28,"male","hetero",16,"never married","white",55
563,"good","other",29,"female","bisexual/other",16,"never married","other",67.5
564,"good","other",39,"male","bisexual/other",16,"married","other",82.5
565,"good","dem",28,"male","hetero",16,"never married","white",21.25
566,"good","dem",74,"female","hetero",16,"no longer married","white",NA
568,"excellent","dem",66,"male","bisexual/other",20,"no longer married","white",NA
572,"excellent","rep",23,"female","hetero",16,"never married","white",32.5
574,"good","dem",27,"male","gay",12,"never married","black",67.5
575,"poor","dem",32,"female","bisexual/other",14,"never married","black",2
576,"fair","dem",40,"female","bisexual/other",12,"no longer married","black",3.5
577,"excellent","dem",22,"female","gay",16,"never married","white",NA
578,"fair","dem",38,"male","hetero",14,"no longer married","black",18.75
580,"fair","rep",63,"male","bisexual/other",12,"no longer married","white",NA
582,"good","other",25,"male","bisexual/other",12,"never married","white",NA
583,"fair","dem",44,"female","hetero",12,"no longer married","other",45
585,"good","other",45,"female","hetero",12,"married","white",7.5
589,"good","dem",48,"female","bisexual/other",18,"no longer married","black",55
592,"good","dem",51,"male","hetero",16,"never married","black",23.75
594,"excellent","dem",57,"female","bisexual/other",12,"married","black",4.5
597,"excellent","rep",26,"male","bisexual/other",12,"never married","other",27.5
598,"good","other",58,"female","hetero",16,"married","white",160
601,"poor","dem",30,"female","bisexual/other",11,"married","white",NA
604,"good","other",20,"male","bisexual/other",12,"never married","white",0.5
606,"poor","other",40,"male","bisexual/other",12,"never married","other",3.5
608,"good","dem",39,"female","bisexual/other",14,"married","white",18.75
609,"good","rep",42,"female","hetero",9,"married","white",NA
610,"good","rep",22,"male","bisexual/other",11,"never married","other",4.5
611,"good","rep",51,"male","bisexual/other",5,"married","other",NA
612,"good","other",40,"female","hetero",9,"no longer married","other",NA
613,"good","other",40,"male","bisexual/other",10,"no longer married","other",55
616,"good","dem",34,"female","hetero",7,"married","other",NA
617,"excellent","other",24,"female","hetero",14,"never married","other",NA
619,"excellent","dem",44,"female","hetero",16,"married","other",NA
622,"excellent","dem",39,"female","bisexual/other",12,"no longer married","black",16.25
624,"fair","dem",34,"male","bisexual/other",14,"married","other",67.5
625,"excellent","rep",70,"female","bisexual/other",19,"married","white",NA
626,"good","dem",49,"female","hetero",15,"no longer married","white",100
628,"good","dem",31,"female","hetero",20,"never married","black",37.5
629,"good","rep",77,"male","bisexual/other",16,"no longer married","white",NA
630,"excellent","other",40,"female","bisexual/other",17,"no longer married","white",NA
631,"good","other",53,"female","bisexual/other",16,"married","black",NA
633,"excellent","dem",39,"female","gay",15,"never married","black",37.5
635,"good","dem",62,"male","bisexual/other",18,"no longer married","black",82.5
636,"fair","dem",48,"female","bisexual/other",12,"no longer married","black",11.25
638,"good","dem",47,"male","bisexual/other",12,"married","black",13.75
641,"good","other",53,"male","bisexual/other",16,"married","white",45
642,"excellent","dem",40,"male","bisexual/other",14,"no longer married","black",67.5
644,"good","other",51,"male","bisexual/other",11,"married","white",9
645,"fair","other",60,"female","bisexual/other",14,"no longer married","white",NA
647,"good","rep",40,"female","bisexual/other",14,"married","white",200
650,"fair","dem",46,"male","bisexual/other",3,"never married","other",21.25
652,"good","other",22,"female","bisexual/other",12,"never married","other",4.5
653,"good","dem",29,"female","bisexual/other",19,"never married","black",55
654,"good","dem",28,"male","hetero",16,"never married","black",32.5
656,"excellent","other",29,"female","hetero",16,"married","white",32.5
658,"excellent","other",47,"male","hetero",14,"married","white",67.5
660,"good","dem",51,"male","bisexual/other",14,"no longer married","black",32.5
661,"good","dem",63,"male","gay",13,"never married","white",NA
662,"excellent","dem",33,"male","bisexual/other",13,"never married","black",NA
663,"fair","other",47,"female","bisexual/other",12,"married","black",37.5
664,"good","rep",26,"female","bisexual/other",15,"married","other",23.75
665,"excellent","dem",68,"male","bisexual/other",16,"married","black",37.5
666,"good","rep",36,"female","hetero",16,"married","black",NA
668,"fair","dem",30,"female","hetero",17,"never married","black",7.5
670,"good","rep",28,"female","hetero",12,"never married","white",NA
672,"good","other",49,"male","hetero",12,"married","white",200
674,"excellent","dem",21,"female","bisexual/other",15,"never married","white",4.5
675,"good","rep",38,"female","bisexual/other",14,"married","white",13.75
676,"good","other",22,"male","hetero",14,"never married","white",23.75
677,"good","dem",50,"male","bisexual/other",14,"no longer married","black",37.5
680,"fair","other",28,"female","bisexual/other",15,"no longer married","black",NA
681,"good","dem",54,"male","bisexual/other",15,"married","black",67.5
683,"good","rep",58,"female","bisexual/other",16,"married","black",45
685,"good","rep",34,"male","hetero",12,"married","white",82.5
686,"fair","other",52,"female","hetero",12,"never married","white",16.25
687,"excellent","other",71,"female","bisexual/other",12,"married","white",NA
688,"fair","dem",21,"female","bisexual/other",11,"married","other",11.25
689,"excellent","other",23,"male","hetero",12,"never married","black",NA
690,"fair","dem",82,"male","bisexual/other",12,"no longer married","black",NA
691,"excellent","dem",34,"male","hetero",12,"married","black",45
693,"good","dem",43,"female","bisexual/other",15,"no longer married","black",45
694,"fair","dem",75,"female","bisexual/other",12,"no longer married","black",NA
696,"good","other",33,"male","bisexual/other",12,"never married","other",27.5
698,"good","other",50,"female","hetero",12,"no longer married","white",NA
699,"good","other",40,"female","hetero",16,"no longer married","white",NA
700,"poor","dem",89,"female","bisexual/other",4,"no longer married","black",NA
