,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,red
121,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,1
122,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,1
123,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,1
124,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,1
125,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,1
126,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,1
127,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,1
128,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,1
129,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,1
130,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,1
131,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,1
132,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,1
133,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,1
134,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,1
135,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,1
136,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,1
137,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,1
138,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,1
139,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,1
140,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5,1
141,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,1
142,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,1
143,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,1
144,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,1
145,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,1
146,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,1
147,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,1
148,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,1
149,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5,1
150,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,1
151,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,1
152,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1
153,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,1
154,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,1
155,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,1
156,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,1
157,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,1
158,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,1
159,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,1
160,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6,1
161,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,1
162,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,1
163,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,1
164,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,1
165,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,1
166,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,1
167,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,1
168,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,1
169,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,1
170,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,1
171,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6,1
172,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,1
173,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,1
174,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,1
175,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,1
176,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,1
177,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,1
178,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,1
179,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,1
180,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,1
181,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,1
182,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,1
183,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,1
184,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,1
185,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,1
186,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6,1
187,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,1
188,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,1
189,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,1
190,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,1
191,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
192,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,1
193,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,1
194,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,1
195,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,1
196,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,1
197,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,1
198,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,1
199,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,1
200,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1
201,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,1
202,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1
203,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,1
204,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,1
205,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,1
206,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,1
207,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,1
208,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,1
209,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,1
210,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1
211,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,1
212,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,1
213,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,1
214,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,1
215,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,1
216,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,1
217,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,1
218,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,1
219,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
220,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,1
221,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,1
222,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,1
223,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,1
224,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,1
225,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,1
226,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,1
227,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,1
228,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6,1
229,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,1
230,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,1
231,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,1
232,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,1
233,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,1
234,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,1
235,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,1
236,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,1
237,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,1
238,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,1
239,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5,1
240,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,1
241,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,1
242,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,1
243,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,1
244,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6,1
245,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,1
246,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,1
247,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,1
248,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,1
249,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,1
250,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,1
251,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1
252,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,1
253,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,1
254,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,1
255,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,1
256,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,1
257,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,1
258,9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,1
259,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,1
260,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,1
261,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,1
262,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,1
263,6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,1
264,7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,1
265,7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,1
266,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,1
267,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,1
268,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,1
269,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,1
270,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,1
271,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,1
272,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,1
273,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,1
274,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,1
275,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,1
276,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,1
277,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,1
278,7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,1
279,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1
280,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,1
281,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,1
282,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,1
283,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,1
284,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,1
285,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,1
286,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,1
287,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,1
288,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,1
289,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,1
290,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,1
291,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,1
292,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,1
293,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,1
294,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,1
295,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,1
296,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,1
297,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,1
298,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,1
299,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1
