title,year,recipients,num_recipients,motivation
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2015,['Angus Deaton'],1,"“for his analysis of consumption, poverty, and welfare”"
The Nobel Prize in Physics,2014,"['Isamu Akasaki', 'Hiroshi Amano', 'Shuji Nakamura']",3,“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”
The Nobel Prize in Chemistry,2014,"['Eric Betzig', 'Stefan W. Hell', 'William E. Moerner']",3,“for the development of super-resolved fluorescence microscopy”
The Nobel Prize in Physiology or Medicine,2014,"['John O’Keefe', 'May-Britt Moser', 'Edvard I. Moser']",3,“for their discoveries of cells that constitute a positioning system in the brain”
The Nobel Prize in Literature,2014,['Patrick Modiano'],1,“for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation”
The Nobel Peace Prize,2014,"['Kailash Satyarthi', 'Malala Yousafzai']",2,“for their struggle against the suppression of children and young people and for the right of all children to education”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2014,['Jean Tirole'],1,“for his analysis of market power and regulation”
The Nobel Prize in Physics,2013,"['François Englert', 'Peter W. Higgs']",2,"“for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider”"
The Nobel Prize in Chemistry,2013,"['Martin Karplus', 'Michael Levitt', 'Arieh Warshel']",3,“for the development of multiscale models for complex chemical systems”
The Nobel Prize in Physiology or Medicine,2013,"['James E. Rothman', 'Randy W. Schekman', 'Thomas C. Südhof']",3,"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”"
The Nobel Prize in Literature,2013,['Alice Munro'],1,“master of the contemporary short story”
The Nobel Peace Prize,2013,['Organisation for the Prohibition of Chemical Weapons (OPCW) '],1,“for its extensive efforts to eliminate chemical weapons”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2013,"['Eugene F. Fama', 'Lars Peter Hansen', 'Robert J. Shiller']",3,“for their empirical analysis of asset prices”
The Nobel Prize in Physics,2012,"['Serge Haroche', 'David J. Wineland']",2,“for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems”
The Nobel Prize in Chemistry,2012,"['Robert J. Lefkowitz', 'Brian K. Kobilka']",2,“for studies of G-protein-coupled receptors”
The Nobel Prize in Physiology or Medicine,2012,"['Sir John B. Gurdon', 'Shinya Yamanaka']",2,“for the discovery that mature cells can be reprogrammed to become pluripotent”
The Nobel Prize in Literature,2012,['Mo Yan'],1,"“who with hallucinatory realism merges folk tales, history and the contemporary”"
The Nobel Peace Prize,2012,['European Union (EU) '],1,"“for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2012,"['Alvin E. Roth', 'Lloyd S. Shapley']",2,“for the theory of stable allocations and the practice of market design”
The Nobel Prize in Physics,2011,"['Saul Perlmutter', 'Brian P. Schmidt', 'Adam G. Riess']",3,“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”
The Nobel Prize in Chemistry,2011,['Dan Shechtman'],1,“for the discovery of quasicrystals”
The Nobel Prize in Physiology or Medicine,2011,"['Bruce A. Beutler', 'Jules A. Hoffmann', 'Ralph M. Steinman']",3,“for their discoveries concerning the activation of innate immunity”
The Nobel Prize in Literature,2011,['Tomas Tranströmer'],1,"“because, through his condensed, translucent images, he gives us fresh access to reality”"
The Nobel Peace Prize,2011,"['Ellen Johnson Sirleaf', 'Leymah Gbowee', 'Tawakkol Karman']",3,“for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2011,"['Thomas J. Sargent', 'Christopher A. Sims']",2,“for their empirical research on cause and effect in the macroeconomy”
The Nobel Prize in Physics,2010,"['Andre Geim', 'Konstantin Novoselov']",2,“for groundbreaking experiments regarding the two-dimensional material graphene”
The Nobel Prize in Chemistry,2010,"['Richard F. Heck', 'Ei-ichi Negishi', 'Akira Suzuki']",3,“for palladium-catalyzed cross couplings in organic synthesis”
The Nobel Prize in Physiology or Medicine,2010,['Robert G. Edwards'],1,“for the development of in vitro fertilization”
The Nobel Prize in Literature,2010,['Mario Vargas Llosa'],1,"“for his cartography of structures of power and his trenchant images of the individual’s resistance, revolt, and defeat”"
The Nobel Peace Prize,2010,['Liu Xiaobo'],1,“for his long and non-violent struggle for fundamental human rights in China”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2010,"['Peter A. Diamond', 'Dale T. Mortensen', 'Christopher A. Pissarides']",3,“for their analysis of markets with search frictions”
The Nobel Prize in Physics,2009,"['Charles Kuen Kao', 'Willard S. Boyle', 'George E. Smith']",3,“for groundbreaking achievements concerning the transmission of light in fibers for optical communication”
The Nobel Prize in Chemistry,2009,"['Venkatraman Ramakrishnan', 'Thomas A. Steitz', 'Ada E. Yonath']",3,“for studies of the structure and function of the ribosome”
The Nobel Prize in Physiology or Medicine,2009,"['Elizabeth H. Blackburn', 'Carol W. Greider', 'Jack W. Szostak']",3,“for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase”
The Nobel Prize in Literature,2009,['Herta Müller'],1,"“who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed”"
The Nobel Peace Prize,2009,['Barack H. Obama'],1,“for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2009,"['Elinor Ostrom', 'Oliver E. Williamson']",2,"“for her analysis of economic governance, especially the commons”"
The Nobel Prize in Physics,2008,"['Yoichiro Nambu', 'Makoto Kobayashi', 'Toshihide Maskawa']",3,“for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics”
The Nobel Prize in Chemistry,2008,"['Osamu Shimomura', 'Martin Chalfie', 'Roger Y. Tsien']",3,"“for the discovery and development of the green fluorescent protein, GFP”"
The Nobel Prize in Physiology or Medicine,2008,"['Harald zur Hausen', 'Françoise Barré-Sinoussi', 'Luc Montagnier']",3,“for his discovery of human papilloma viruses causing cervical cancer”
The Nobel Prize in Literature,2008,['Jean-Marie Gustave Le Clézio'],1,"“author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization”"
The Nobel Peace Prize,2008,['Martti Ahtisaari'],1,"“for his important efforts, on several continents and over more than three decades, to resolve international conflicts”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2008,['Paul Krugman'],1,“for his analysis of trade patterns and location of economic activity”
The Nobel Prize in Physics,2007,"['Albert Fert', 'Peter Grünberg']",2,“for the discovery of Giant Magnetoresistance”
The Nobel Prize in Chemistry,2007,['Gerhard Ertl'],1,“for his studies of chemical processes on solid surfaces”
The Nobel Prize in Physiology or Medicine,2007,"['Mario R. Capecchi', 'Sir Martin J. Evans', 'Oliver Smithies']",3,“for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells”
The Nobel Prize in Literature,2007,['Doris Lessing'],1,"“that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny”"
The Nobel Peace Prize,2007,"['Intergovernmental Panel on Climate Change (IPCC) ', 'Albert Arnold (Al) Gore Jr.']",2,"“for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2007,"['Leonid Hurwicz', 'Eric S. Maskin', 'Roger B. Myerson']",3,“for having laid the foundations of mechanism design theory”
The Nobel Prize in Physics,2006,"['John C. Mather', 'George F. Smoot']",2,“for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation”
The Nobel Prize in Chemistry,2006,['Roger D. Kornberg'],1,“for his studies of the molecular basis of eukaryotic transcription”
The Nobel Prize in Physiology or Medicine,2006,"['Andrew Z. Fire', 'Craig C. Mello']",2,“for their discovery of RNA interference – gene silencing by double-stranded RNA”
The Nobel Prize in Literature,2006,['Orhan Pamuk'],1,“who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures”
The Nobel Peace Prize,2006,"['Muhammad Yunus', 'Grameen Bank ']",2,“for their efforts to create economic and social development from below”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2006,['Edmund S. Phelps'],1,“for his analysis of intertemporal tradeoffs in macroeconomic policy”
The Nobel Prize in Physics,2005,"['Roy J. Glauber', 'John L. Hall', 'Theodor W. Hänsch']",3,“for his contribution to the quantum theory of optical coherence”
The Nobel Prize in Chemistry,2005,"['Yves Chauvin', 'Robert H. Grubbs', 'Richard R. Schrock']",3,“for the development of the metathesis method in organic synthesis”
The Nobel Prize in Physiology or Medicine,2005,"['Barry J. Marshall', 'J. Robin Warren']",2,“for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease”
The Nobel Prize in Literature,2005,['Harold Pinter'],1,“who in his plays uncovers the precipice under everyday prattle and forces entry into oppression’s closed rooms”
The Nobel Peace Prize,2005,"['International Atomic Energy Agency (IAEA) ', 'Mohamed ElBaradei']",2,“for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2005,"['Robert J. Aumann', 'Thomas C. Schelling']",2,“for having enhanced our understanding of conflict and cooperation through game-theory analysis”
The Nobel Prize in Physics,2004,"['David J. Gross', 'H. David Politzer', 'Frank Wilczek']",3,“for the discovery of asymptotic freedom in the theory of the strong interaction”
The Nobel Prize in Chemistry,2004,"['Aaron Ciechanover', 'Avram Hershko', 'Irwin Rose']",3,“for the discovery of ubiquitin-mediated protein degradation”
The Nobel Prize in Physiology or Medicine,2004,"['Richard Axel', 'Linda B. Buck']",2,“for their discoveries of odorant receptors and the organization of the olfactory system”
The Nobel Prize in Literature,2004,['Elfriede Jelinek'],1,“for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society’s clichés and their subjugating power”
The Nobel Peace Prize,2004,['Wangari Muta Maathai'],1,"“for her contribution to sustainable development, democracy and peace”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2004,"['Finn E. Kydland', 'Edward C. Prescott']",2,“for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles”
The Nobel Prize in Physics,2003,"['Alexei A. Abrikosov', 'Vitaly L. Ginzburg', 'Anthony J. Leggett']",3,“for pioneering contributions to the theory of superconductors and superfluids”
The Nobel Prize in Chemistry,2003,"['Peter Agre', 'Roderick MacKinnon']",2,“for discoveries concerning channels in cell membranes”
The Nobel Prize in Physiology or Medicine,2003,"['Paul C. Lauterbur', 'Sir Peter Mansfield']",2,“for their discoveries concerning magnetic resonance imaging”
The Nobel Prize in Literature,2003,['John M. Coetzee'],1,“who in innumerable guises portrays the surprising involvement of the outsider”
The Nobel Peace Prize,2003,['Shirin Ebadi'],1,“for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2003,"['Robert F. Engle III', 'Clive W.J. Granger']",2,“for methods of analyzing economic time series with time-varying volatility (ARCH)”
The Nobel Prize in Physics,2002,"['Raymond Davis Jr.', 'Masatoshi Koshiba', 'Riccardo Giacconi']",3,"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”"
The Nobel Prize in Chemistry,2002,"['John B. Fenn', 'Koichi Tanaka', 'Kurt Wüthrich']",3,“for the development of methods for identification and structure analyses of biological macromolecules”
The Nobel Prize in Physiology or Medicine,2002,"['Sydney Brenner', 'H. Robert Horvitz', 'John E. Sulston']",3,“for their discoveries concerning genetic regulation of organ development and programmed cell death'”
The Nobel Prize in Literature,2002,['Imre Kertész'],1,“for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history”
The Nobel Peace Prize,2002,['Jimmy Carter'],1,"“for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2002,"['Daniel Kahneman', 'Vernon L. Smith']",2,"“for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty”"
The Nobel Prize in Physics,2001,"['Eric A. Cornell', 'Wolfgang Ketterle', 'Carl E. Wieman']",3,"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”"
The Nobel Prize in Chemistry,2001,"['William S. Knowles', 'Ryoji Noyori', 'K. Barry Sharpless']",3,“for their work on chirally catalysed hydrogenation reactions”
The Nobel Prize in Physiology or Medicine,2001,"['Leland H. Hartwell', 'Tim Hunt', 'Sir Paul M. Nurse']",3,“for their discoveries of key regulators of the cell cycle”
The Nobel Prize in Literature,2001,['Sir Vidiadhar Surajprasad Naipaul'],1,“for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories”
The Nobel Peace Prize,2001,"['United Nations (U.N.) ', 'Kofi Annan']",2,“for their work for a better organized and more peaceful world”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2001,"['George A. Akerlof', 'A. Michael Spence', 'Joseph E. Stiglitz']",3,“for their analyses of markets with asymmetric information”
The Nobel Prize in Physics,2000,"['Zhores I. Alferov', 'Herbert Kroemer', 'Jack S. Kilby']",3,“for basic work on information and communication technology”
The Nobel Prize in Chemistry,2000,"['Alan J. Heeger', 'Alan G. MacDiarmid', 'Hideki Shirakawa']",3,“for the discovery and development of conductive polymers”
The Nobel Prize in Physiology or Medicine,2000,"['Arvid Carlsson', 'Paul Greengard', 'Eric R. Kandel']",3,“for their discoveries concerning signal transduction in the nervous system”
The Nobel Prize in Literature,2000,['Gao Xingjian'],1,"“for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama”"
The Nobel Peace Prize,2000,['Kim Dae-jung'],1,"“for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2000,"['James J. Heckman', 'Daniel L. McFadden']",2,“for his development of theory and methods for analyzing selective samples”
The Nobel Prize in Physics,1999,"['Gerardus ‘t Hooft', 'Martinus J.G. Veltman']",2,“for elucidating the quantum structure of electroweak interactions in physics”
The Nobel Prize in Chemistry,1999,['Ahmed H. Zewail'],1,“for his studies of the transition states of chemical reactions using femtosecond spectroscopy”
The Nobel Prize in Physiology or Medicine,1999,['Günter Blobel'],1,“for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell”
The Nobel Prize in Literature,1999,['Günter Grass'],1,“whose frolicsome black fables portray the forgotten face of history”
The Nobel Peace Prize,1999,['Médecins Sans Frontières '],1,“in recognition of the organization’s pioneering humanitarian work on several continents”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1999,['Robert A. Mundell'],1,“for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas”
The Nobel Prize in Physics,1998,"['Robert B. Laughlin', 'Horst L. Störmer', 'Daniel C. Tsui']",3,“for their discovery of a new form of quantum fluid with fractionally charged excitations”
The Nobel Prize in Chemistry,1998,"['Walter Kohn', 'John A. Pople']",2,“for his development of the density-functional theory”
The Nobel Prize in Physiology or Medicine,1998,"['Robert F. Furchgott', 'Louis J. Ignarro', 'Ferid Murad']",3,“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”
The Nobel Prize in Literature,1998,['José Saramago'],1,"“who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality”"
The Nobel Peace Prize,1998,"['John Hume', 'David Trimble']",2,“for their efforts to find a peaceful solution to the conflict in Northern Ireland”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1998,['Amartya Sen'],1,“for his contributions to welfare economics”
The Nobel Prize in Physics,1997,"['Steven Chu', 'Claude Cohen-Tannoudji', 'William D. Phillips']",3,“for development of methods to cool and trap atoms with laser light”
The Nobel Prize in Chemistry,1997,"['Paul D. Boyer', 'John E. Walker', 'Jens C. Skou']",3,“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”
The Nobel Prize in Physiology or Medicine,1997,['Stanley B. Prusiner'],1,“for his discovery of Prions – a new biological principle of infection”
The Nobel Prize in Literature,1997,['Dario Fo'],1,“who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden”
The Nobel Peace Prize,1997,"['International Campaign to Ban Landmines (ICBL) ', 'Jody Williams']",2,“for their work for the banning and clearing of anti-personnel mines”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1997,"['Robert C. Merton', 'Myron S. Scholes']",2,“for a new method to determine the value of derivatives”
The Nobel Prize in Physics,1996,"['David M. Lee', 'Douglas D. Osheroff', 'Robert C. Richardson']",3,“for their discovery of superfluidity in helium-3”
The Nobel Prize in Chemistry,1996,"['Robert F. Curl Jr.', 'Sir Harold W. Kroto', 'Richard E. Smalley']",3,“for their discovery of fullerenes”
The Nobel Prize in Physiology or Medicine,1996,"['Peter C. Doherty', 'Rolf M. Zinkernagel']",2,“for their discoveries concerning the specificity of the cell mediated immune defence”
The Nobel Prize in Literature,1996,['Wislawa Szymborska'],1,“for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality”
The Nobel Peace Prize,1996,"['Carlos Filipe Ximenes Belo', 'José Ramos-Horta']",2,“for their work towards a just and peaceful solution to the conflict in East Timor”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1996,"['James A. Mirrlees', 'William Vickrey']",2,“for their fundamental contributions to the economic theory of incentives under asymmetric information”
The Nobel Prize in Physics,1995,"['Martin L. Perl', 'Frederick Reines']",2,“for pioneering experimental contributions to lepton physics”
The Nobel Prize in Chemistry,1995,"['Paul J. Crutzen', 'Mario J. Molina', 'F. Sherwood Rowland']",3,"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”"
The Nobel Prize in Physiology or Medicine,1995,"['Edward B. Lewis', 'Christiane Nüsslein-Volhard', 'Eric F. Wieschaus']",3,“for their discoveries concerning the genetic control of early embryonic development”
The Nobel Prize in Literature,1995,['Seamus Heaney'],1,"“for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past”"
The Nobel Peace Prize,1995,"['Joseph Rotblat', 'Pugwash Conferences on Science and World Affairs ']",2,"“for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1995,['Robert E. Lucas Jr.'],1,"“for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy”"
The Nobel Prize in Physics,1994,"['Bertram N. Brockhouse', 'Clifford G. Shull']",2,“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”
The Nobel Prize in Chemistry,1994,['George A. Olah'],1,“for his contribution to carbocation chemistry”
The Nobel Prize in Physiology or Medicine,1994,"['Alfred G. Gilman', 'Martin Rodbell']",2,“for their discovery of G-proteins and the role of these proteins in signal transduction in cells”
The Nobel Prize in Literature,1994,['Kenzaburo Oe'],1,"“who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today”"
The Nobel Peace Prize,1994,"['Yasser Arafat', 'Shimon Peres', 'Yitzhak Rabin']",3,“for their efforts to create peace in the Middle East”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1994,"['John C. Harsanyi', 'John F. Nash Jr.', 'Reinhard Selten']",3,“for their pioneering analysis of equilibria in the theory of non-cooperative games”
The Nobel Prize in Physics,1993,"['Russell A. Hulse', 'Joseph H. Taylor Jr.']",2,"“for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation”"
The Nobel Prize in Chemistry,1993,"['Kary B. Mullis', 'Michael Smith']",2,“for contributions to the developments of methods within DNA-based chemistry”
The Nobel Prize in Physiology or Medicine,1993,"['Richard J. Roberts', 'Phillip A. Sharp']",2,“for their discoveries of split genes”
The Nobel Prize in Literature,1993,['Toni Morrison'],1,"“who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality”"
The Nobel Peace Prize,1993,"['Nelson Mandela', 'Frederik Willem de Klerk']",2,"“for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1993,"['Robert W. Fogel', 'Douglass C. North']",2,“for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change”
The Nobel Prize in Physics,1992,['Georges Charpak'],1,"“for his invention and development of particle detectors, in particular the multiwire proportional chamber”"
The Nobel Prize in Chemistry,1992,['Rudolph A. Marcus'],1,“for his contributions to the theory of electron transfer reactions in chemical systems”
The Nobel Prize in Physiology or Medicine,1992,"['Edmond H. Fischer', 'Edwin G. Krebs']",2,“for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism”
The Nobel Prize in Literature,1992,['Derek Walcott'],1,"“for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment”"
The Nobel Peace Prize,1992,['Rigoberta Menchú Tum'],1,“in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1992,['Gary S. Becker'],1,"“for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour”"
The Nobel Prize in Physics,1991,['Pierre-Gilles de Gennes'],1,"“for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers”"
The Nobel Prize in Chemistry,1991,['Richard R. Ernst'],1,“for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy”
The Nobel Prize in Physiology or Medicine,1991,"['Erwin Neher', 'Bert Sakmann']",2,“for their discoveries concerning the function of single ion channels in cells”
The Nobel Prize in Literature,1991,['Nadine Gordimer'],1,“who through her magnificent epic writing has – in the words of Alfred Nobel – been of very great benefit to humanity”
The Nobel Peace Prize,1991,['Aung San Suu Kyi '],1,“for her non-violent struggle for democracy and human rights”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1991,['Ronald H. Coase'],1,“for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy”
The Nobel Prize in Physics,1990,"['Jerome I. Friedman', 'Henry W. Kendall', 'Richard E. Taylor']",3,"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”"
The Nobel Prize in Chemistry,1990,['Elias James Corey'],1,“for his development of the theory and methodology of organic synthesis”
The Nobel Prize in Physiology or Medicine,1990,"['Joseph E. Murray', 'E. Donnall Thomas']",2,“for their discoveries concerning organ and cell transplantation in the treatment of human disease”
The Nobel Prize in Literature,1990,['Octavio Paz'],1,"“for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity”"
The Nobel Peace Prize,1990,['Mikhail Sergeyevich Gorbachev'],1,“for his leading role in the peace process which today characterizes important parts of the international community”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1990,"['Harry M. Markowitz', 'Merton H. Miller', 'William F. Sharpe']",3,“for their pioneering work in the theory of financial economics”
The Nobel Prize in Physics,1989,"['Norman F. Ramsey', 'Hans G. Dehmelt', 'Wolfgang Paul']",3,“for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks”
The Nobel Prize in Chemistry,1989,"['Sidney Altman', 'Thomas R. Cech']",2,“for their discovery of catalytic properties of RNA”
The Nobel Prize in Physiology or Medicine,1989,"['J. Michael Bishop', 'Harold E. Varmus']",2,“for their discovery of the cellular origin of retroviral oncogenes”
The Nobel Prize in Literature,1989,['Camilo José Cela'],1,"“for a rich and intensive prose, which with restrained compassion forms a challenging vision of man’s vulnerability”"
The Nobel Peace Prize,1989,['The 14th Dalai Lama (Tenzin Gyatso) '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1989,['Trygve Haavelmo'],1,“for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures”
The Nobel Prize in Physics,1988,"['Leon M. Lederman', 'Melvin Schwartz', 'Jack Steinberger']",3,“for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino”
The Nobel Prize in Chemistry,1988,"['Johann Deisenhofer', 'Robert Huber', 'Hartmut Michel']",3,“for the determination of the three-dimensional structure of a photosynthetic reaction centre”
The Nobel Prize in Physiology or Medicine,1988,"['Sir James W. Black', 'Gertrude B. Elion', 'George H. Hitchings']",3,“for their discoveries of important principles for drug treatment”
The Nobel Prize in Literature,1988,['Naguib Mahfouz'],1,"“who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind”"
The Nobel Peace Prize,1988,['United Nations Peacekeeping Forces '],1,
